congress,bill_number,url,word_count
104,1887,https://www.congress.gov/bill/104th-congress/senate-bill/1887/text?r=1&s=2&format=txt,6607.0
104,1899,https://www.congress.gov/bill/104th-congress/senate-bill/1899/text?r=1&s=2&format=txt,152.0
104,1903,https://www.congress.gov/bill/104th-congress/senate-bill/1903/text?r=1&s=2&format=txt,193.0
104,1931,https://www.congress.gov/bill/104th-congress/senate-bill/1931/text?r=1&s=2&format=txt,203.0
104,1965,https://www.congress.gov/bill/104th-congress/senate-bill/1965/text?r=1&s=2&format=txt,6268.0
104,1970,https://www.congress.gov/bill/104th-congress/senate-bill/1970/text?r=1&s=2&format=txt,1089.0
104,1973,https://www.congress.gov/bill/104th-congress/senate-bill/1973/text?r=1&s=2&format=txt,2884.0
104,1995,https://www.congress.gov/bill/104th-congress/senate-bill/1995/text?r=1&s=2&format=txt,152.0
104,2078,https://www.congress.gov/bill/104th-congress/senate-bill/2078/text?r=1&s=2&format=txt,761.0
104,2085,https://www.congress.gov/bill/104th-congress/senate-bill/2085/text?r=1&s=2&format=txt,243.0
104,2100,https://www.congress.gov/bill/104th-congress/senate-bill/2100/text?r=1&s=2&format=txt,154.0
104,2101,https://www.congress.gov/bill/104th-congress/senate-bill/2101/text?r=1&s=2&format=txt,1097.0
104,2153,https://www.congress.gov/bill/104th-congress/senate-bill/2153/text?r=1&s=2&format=txt,174.0
104,2183,https://www.congress.gov/bill/104th-congress/senate-bill/2183/text?r=1&s=2&format=txt,620.0
104,2197,https://www.congress.gov/bill/104th-congress/senate-bill/2197/text?r=1&s=2&format=txt,501.0
104,2198,https://www.congress.gov/bill/104th-congress/senate-bill/2198/text?r=1&s=2&format=txt,327.0
105,53,https://www.congress.gov/bill/105th-congress/senate-bill/53/text?r=1&s=2&format=txt,1240.0
105,156,https://www.congress.gov/bill/105th-congress/senate-bill/156/text?r=1&s=2&format=txt,1755.0
105,191,https://www.congress.gov/bill/105th-congress/senate-bill/191/text?r=1&s=2&format=txt,634.0
105,231,https://www.congress.gov/bill/105th-congress/senate-bill/231/text?r=1&s=2&format=txt,563.0
105,305,https://www.congress.gov/bill/105th-congress/senate-bill/305/text?r=1&s=2&format=txt,537.0
105,314,https://www.congress.gov/bill/105th-congress/senate-bill/314/text?r=1&s=2&format=txt,1632.0
105,318,https://www.congress.gov/bill/105th-congress/senate-bill/318/text?r=1&s=2&format=txt,6133.0
105,342,https://www.congress.gov/bill/105th-congress/senate-bill/342/text?r=1&s=2&format=txt,265.0
105,347,https://www.congress.gov/bill/105th-congress/senate-bill/347/text?r=1&s=2&format=txt,198.0
105,391,https://www.congress.gov/bill/105th-congress/senate-bill/391/text?r=1&s=2&format=txt,2739.0
105,410,https://www.congress.gov/bill/105th-congress/senate-bill/410/text?r=1&s=2&format=txt,111.0
105,414,https://www.congress.gov/bill/105th-congress/senate-bill/414/text?r=1&s=2&format=txt,6704.0
105,417,https://www.congress.gov/bill/105th-congress/senate-bill/417/text?r=1&s=2&format=txt,3602.0
105,419,https://www.congress.gov/bill/105th-congress/senate-bill/419/text?r=1&s=2&format=txt,1083.0
105,423,https://www.congress.gov/bill/105th-congress/senate-bill/423/text?r=1&s=2&format=txt,181.0
105,430,https://www.congress.gov/bill/105th-congress/senate-bill/430/text?r=1&s=2&format=txt,432.0
105,459,https://www.congress.gov/bill/105th-congress/senate-bill/459/text?r=1&s=2&format=txt,493.0
105,476,https://www.congress.gov/bill/105th-congress/senate-bill/476/text?r=1&s=2&format=txt,686.0
105,493,https://www.congress.gov/bill/105th-congress/senate-bill/493/text?r=1&s=2&format=txt,1151.0
105,505,https://www.congress.gov/bill/105th-congress/senate-bill/505/text?r=1&s=2&format=txt,3370.0
105,538,https://www.congress.gov/bill/105th-congress/senate-bill/538/text?r=1&s=2&format=txt,1052.0
105,543,https://www.congress.gov/bill/105th-congress/senate-bill/543/text?r=1&s=2&format=txt,2227.0
105,587,https://www.congress.gov/bill/105th-congress/senate-bill/587/text?r=1&s=2&format=txt,399.0
105,588,https://www.congress.gov/bill/105th-congress/senate-bill/588/text?r=1&s=2&format=txt,258.0
105,589,https://www.congress.gov/bill/105th-congress/senate-bill/589/text?r=1&s=2&format=txt,541.0
105,591,https://www.congress.gov/bill/105th-congress/senate-bill/591/text?r=1&s=2&format=txt,369.0
105,669,https://www.congress.gov/bill/105th-congress/senate-bill/669/text?r=1&s=2&format=txt,164.0
105,670,https://www.congress.gov/bill/105th-congress/senate-bill/670/text?r=1&s=2&format=txt,201.0
105,714,https://www.congress.gov/bill/105th-congress/senate-bill/714/text?r=1&s=2&format=txt,8351.0
105,731,https://www.congress.gov/bill/105th-congress/senate-bill/731/text?r=1&s=2&format=txt,582.0
105,738,https://www.congress.gov/bill/105th-congress/senate-bill/738/text?r=1&s=2&format=txt,9180.0
105,744,https://www.congress.gov/bill/105th-congress/senate-bill/744/text?r=1&s=2&format=txt,1640.0
105,750,https://www.congress.gov/bill/105th-congress/senate-bill/750/text?r=1&s=2&format=txt,907.0
105,758,https://www.congress.gov/bill/105th-congress/senate-bill/758/text?r=1&s=2&format=txt,588.0
105,759,https://www.congress.gov/bill/105th-congress/senate-bill/759/text?r=1&s=2&format=txt,741.0
105,768,https://www.congress.gov/bill/105th-congress/senate-bill/768/text?r=1&s=2&format=txt,496.0
105,813,https://www.congress.gov/bill/105th-congress/senate-bill/813/text?r=1&s=2&format=txt,298.0
105,819,https://www.congress.gov/bill/105th-congress/senate-bill/819/text?r=1&s=2&format=txt,200.0
105,830,https://www.congress.gov/bill/105th-congress/senate-bill/830/text?r=1&s=2&format=txt,40099.0
105,833,https://www.congress.gov/bill/105th-congress/senate-bill/833/text?r=1&s=2&format=txt,177.0
105,858,https://www.congress.gov/bill/105th-congress/senate-bill/858/text?r=1&s=2&format=txt,6850.0
105,871,https://www.congress.gov/bill/105th-congress/senate-bill/871/text?r=1&s=2&format=txt,2775.0
105,890,https://www.congress.gov/bill/105th-congress/senate-bill/890/text?r=1&s=2&format=txt,6649.0
105,910,https://www.congress.gov/bill/105th-congress/senate-bill/910/text?r=1&s=2&format=txt,2178.0
105,916,https://www.congress.gov/bill/105th-congress/senate-bill/916/text?r=1&s=2&format=txt,184.0
105,923,https://www.congress.gov/bill/105th-congress/senate-bill/923/text?r=1&s=2&format=txt,885.0
105,927,https://www.congress.gov/bill/105th-congress/senate-bill/927/text?r=1&s=2&format=txt,2831.0
105,931,https://www.congress.gov/bill/105th-congress/senate-bill/931/text?r=1&s=2&format=txt,884.0
105,985,https://www.congress.gov/bill/105th-congress/senate-bill/985/text?r=1&s=2&format=txt,374.0
105,996,https://www.congress.gov/bill/105th-congress/senate-bill/996/text?r=1&s=2&format=txt,505.0
105,1000,https://www.congress.gov/bill/105th-congress/senate-bill/1000/text?r=1&s=2&format=txt,173.0
105,1021,https://www.congress.gov/bill/105th-congress/senate-bill/1021/text?r=1&s=2&format=txt,3632.0
105,1026,https://www.congress.gov/bill/105th-congress/senate-bill/1026/text?r=1&s=2&format=txt,1516.0
105,1132,https://www.congress.gov/bill/105th-congress/senate-bill/1132/text?r=1&s=2&format=txt,891.0
