congress,bill_number,url
111,3433,https://www.congress.gov/bill/111th-congress/house-bill/3433/text?r=1&s=2&format=txt
111,3081,https://www.congress.gov/bill/111th-congress/house-bill/3081/text?r=1&s=2&format=txt
111,5712,https://www.congress.gov/bill/111th-congress/house-bill/5712/text?r=1&s=2&format=txt
111,1722,https://www.congress.gov/bill/111th-congress/house-bill/1722/text?r=1&s=2&format=txt
111,4861,https://www.congress.gov/bill/111th-congress/house-bill/4861/text?r=1&s=2&format=txt
111,1517,https://www.congress.gov/bill/111th-congress/house-bill/1517/text?r=1&s=2&format=txt
111,3072,https://www.congress.gov/bill/111th-congress/house-bill/3072/text?r=1&s=2&format=txt
111,6190,https://www.congress.gov/bill/111th-congress/house-bill/6190/text?r=1&s=2&format=txt
111,1377,https://www.congress.gov/bill/111th-congress/house-bill/1377/text?r=1&s=2&format=txt
111,1713,https://www.congress.gov/bill/111th-congress/house-bill/1713/text?r=1&s=2&format=txt
111,2162,https://www.congress.gov/bill/111th-congress/house-bill/2162/text?r=1&s=2&format=txt
111,4602,https://www.congress.gov/bill/111th-congress/house-bill/4602/text?r=1&s=2&format=txt
111,1586,https://www.congress.gov/bill/111th-congress/house-bill/1586/text?r=1&s=2&format=txt
111,2131,https://www.congress.gov/bill/111th-congress/house-bill/2131/text?r=1&s=2&format=txt
111,2760,https://www.congress.gov/bill/111th-congress/house-bill/2760/text?r=1&s=2&format=txt
111,5128,https://www.congress.gov/bill/111th-congress/house-bill/5128/text?r=1&s=2&format=txt
111,1127,https://www.congress.gov/bill/111th-congress/house-bill/1127/text?r=1&s=2&format=txt
111,4667,https://www.congress.gov/bill/111th-congress/house-bill/4667/text?r=1&s=2&format=txt
111,2751,https://www.congress.gov/bill/111th-congress/house-bill/2751/text?r=1&s=2&format=txt
111,3614,https://www.congress.gov/bill/111th-congress/house-bill/3614/text?r=1&s=2&format=txt
111,6392,https://www.congress.gov/bill/111th-congress/house-bill/6392/text?r=1&s=2&format=txt
111,5341,https://www.congress.gov/bill/111th-congress/house-bill/5341/text?r=1&s=2&format=txt
111,6198,https://www.congress.gov/bill/111th-congress/house-bill/6198/text?r=1&s=2&format=txt
111,4851,https://www.congress.gov/bill/111th-congress/house-bill/4851/text?r=1&s=2&format=txt
111,1516,https://www.congress.gov/bill/111th-congress/house-bill/1516/text?r=1&s=2&format=txt
111,6162,https://www.congress.gov/bill/111th-congress/house-bill/6162/text?r=1&s=2&format=txt
111,1121,https://www.congress.gov/bill/111th-congress/house-bill/1121/text?r=1&s=2&format=txt
111,1777,https://www.congress.gov/bill/111th-congress/house-bill/1777/text?r=1&s=2&format=txt
111,5116,https://www.congress.gov/bill/111th-congress/house-bill/5116/text?r=1&s=2&format=txt
111,4462,https://www.congress.gov/bill/111th-congress/house-bill/4462/text?r=1&s=2&format=txt
111,1746,https://www.congress.gov/bill/111th-congress/house-bill/1746/text?r=1&s=2&format=txt
111,4173,https://www.congress.gov/bill/111th-congress/house-bill/4173/text?r=1&s=2&format=txt
111,6278,https://www.congress.gov/bill/111th-congress/house-bill/6278/text?r=1&s=2&format=txt
111,5099,https://www.congress.gov/bill/111th-congress/house-bill/5099/text?r=1&s=2&format=txt
111,511,https://www.congress.gov/bill/111th-congress/house-bill/511/text?r=1&s=2&format=txt
111,3360,https://www.congress.gov/bill/111th-congress/house-bill/3360/text?r=1&s=2&format=txt
111,2877,https://www.congress.gov/bill/111th-congress/house-bill/2877/text?r=1&s=2&format=txt
111,3509,https://www.congress.gov/bill/111th-congress/house-bill/3509/text?r=1&s=2&format=txt
111,3951,https://www.congress.gov/bill/111th-congress/house-bill/3951/text?r=1&s=2&format=txt
111,3562,https://www.congress.gov/bill/111th-congress/house-bill/3562/text?r=1&s=2&format=txt
111,6473,https://www.congress.gov/bill/111th-congress/house-bill/6473/text?r=1&s=2&format=txt
