congress,bill_number,url
104,677,https://www.congress.gov/bill/104th-congress/senate-bill/677/text?r=1&s=2&format=txt
104,1995,https://www.congress.gov/bill/104th-congress/senate-bill/1995/text?r=1&s=2&format=txt
104,395,https://www.congress.gov/bill/104th-congress/senate-bill/395/text?r=1&s=2&format=txt
104,1136,https://www.congress.gov/bill/104th-congress/senate-bill/1136/text?r=1&s=2&format=txt
104,966,https://www.congress.gov/bill/104th-congress/senate-bill/966/text?r=1&s=2&format=txt
104,1903,https://www.congress.gov/bill/104th-congress/senate-bill/1903/text?r=1&s=2&format=txt
104,1507,https://www.congress.gov/bill/104th-congress/senate-bill/1507/text?r=1&s=2&format=txt
104,735,https://www.congress.gov/bill/104th-congress/senate-bill/735/text?r=1&s=2&format=txt
104,369,https://www.congress.gov/bill/104th-congress/senate-bill/369/text?r=1&s=2&format=txt
104,1757,https://www.congress.gov/bill/104th-congress/senate-bill/1757/text?r=1&s=2&format=txt
104,531,https://www.congress.gov/bill/104th-congress/senate-bill/531/text?r=1&s=2&format=txt
105,1379,https://www.congress.gov/bill/105th-congress/senate-bill/1379/text?r=1&s=2&format=txt
105,1722,https://www.congress.gov/bill/105th-congress/senate-bill/1722/text?r=1&s=2&format=txt
105,2392,https://www.congress.gov/bill/105th-congress/senate-bill/2392/text?r=1&s=2&format=txt
105,923,https://www.congress.gov/bill/105th-congress/senate-bill/923/text?r=1&s=2&format=txt
105,1377,https://www.congress.gov/bill/105th-congress/senate-bill/1377/text?r=1&s=2&format=txt
105,1519,https://www.congress.gov/bill/105th-congress/senate-bill/1519/text?r=1&s=2&format=txt
105,588,https://www.congress.gov/bill/105th-congress/senate-bill/588/text?r=1&s=2&format=txt
105,543,https://www.congress.gov/bill/105th-congress/senate-bill/543/text?r=1&s=2&format=txt
105,1575,https://www.congress.gov/bill/105th-congress/senate-bill/1575/text?r=1&s=2&format=txt
105,714,https://www.congress.gov/bill/105th-congress/senate-bill/714/text?r=1&s=2&format=txt
105,589,https://www.congress.gov/bill/105th-congress/senate-bill/589/text?r=1&s=2&format=txt
105,314,https://www.congress.gov/bill/105th-congress/senate-bill/314/text?r=1&s=2&format=txt
105,2500,https://www.congress.gov/bill/105th-congress/senate-bill/2500/text?r=1&s=2&format=txt
105,1349,https://www.congress.gov/bill/105th-congress/senate-bill/1349/text?r=1&s=2&format=txt
105,587,https://www.congress.gov/bill/105th-congress/senate-bill/587/text?r=1&s=2&format=txt
105,1976,https://www.congress.gov/bill/105th-congress/senate-bill/1976/text?r=1&s=2&format=txt
105,1378,https://www.congress.gov/bill/105th-congress/senate-bill/1378/text?r=1&s=2&format=txt
105,1347,https://www.congress.gov/bill/105th-congress/senate-bill/1347/text?r=1&s=2&format=txt
105,2106,https://www.congress.gov/bill/105th-congress/senate-bill/2106/text?r=1&s=2&format=txt
105,347,https://www.congress.gov/bill/105th-congress/senate-bill/347/text?r=1&s=2&format=txt
105,985,https://www.congress.gov/bill/105th-congress/senate-bill/985/text?r=1&s=2&format=txt
105,669,https://www.congress.gov/bill/105th-congress/senate-bill/669/text?r=1&s=2&format=txt
105,1892,https://www.congress.gov/bill/105th-congress/senate-bill/1892/text?r=1&s=2&format=txt
105,2241,https://www.congress.gov/bill/105th-congress/senate-bill/2241/text?r=1&s=2&format=txt
105,1408,https://www.congress.gov/bill/105th-congress/senate-bill/1408/text?r=1&s=2&format=txt
105,1605,https://www.congress.gov/bill/105th-congress/senate-bill/1605/text?r=1&s=2&format=txt
105,2246,https://www.congress.gov/bill/105th-congress/senate-bill/2246/text?r=1&s=2&format=txt
105,1000,https://www.congress.gov/bill/105th-congress/senate-bill/1000/text?r=1&s=2&format=txt
105,430,https://www.congress.gov/bill/105th-congress/senate-bill/430/text?r=1&s=2&format=txt
